finding,observed_targets,d0_like_spd_macro_f1,d3_field_anchor_macro_f1,delta_macro_f1
Enlarged Cardiomediastinum,811,0.46871398195121133,0.47176919780522253,0.003055215854011195
Cardiomegaly,972,0.5200444947659059,0.5244341563786009,0.0043896616126950505
Lung Opacity,499,0.31941544885177453,0.31941544885177453,0.0
Lung Lesion,116,0.3052959501557632,0.3052959501557632,0.0
Edema,682,0.5177892428330256,0.5178646719929755,0.00007542915994984689
Consolidation,514,0.5014772169411345,0.5036341393206678,0.0021569223795333547
Pneumonia,446,0.5381296360325981,0.5342991114491625,-0.0038305245834355794
Atelectasis,557,0.29718076285240463,0.29718076285240463,0.0
Pneumothorax,1066,0.32168284789644014,0.32168284789644014,0.0
Pleural Effusion,1286,0.583391617826774,0.5822310759933872,-0.0011605418333867634
Fracture,67,0.34203574203574205,0.34678695789806896,0.004751215862326907
Support Devices,660,0.3323201621073962,0.3323201621073962,0.0
